#  Energy (eV) |  DOS (states/eV)
  -44.12906906    0.0000000000
  -44.09049949    0.0000000000
  -44.05192991    0.0000000000
  -44.01336033    0.0000000000
  -43.97479075    0.0000000000
  -43.93622117    0.0000000000
  -43.89765160    0.0000000000
  -43.85908202    0.0000000000
  -43.82051244    0.0000000000
  -43.78194286    0.0000000000
  -43.74337328    0.0000000000
  -43.70480371    0.0000000000
  -43.66623413    0.0000000000
  -43.62766455    0.0000000000
  -43.58909497    0.0000000000
  -43.55052539    0.0000000000
  -43.51195582    0.0000000000
  -43.47338624    0.0000000000
  -43.43481666    0.0000000000
  -43.39624708    0.0000000000
  -43.35767750    0.0000000000
  -43.31910793    0.0000000000
  -43.28053835    0.0000000000
  -43.24196877    0.0000000000
  -43.20339919    0.0000000000
  -43.16482961    0.0000000000
  -43.12626003    0.0000000000
  -43.08769046    0.0000000000
  -43.04912088    0.0000000000
  -43.01055130    0.0000000000
  -42.97198172    0.0000000000
  -42.93341214    0.0000000000
  -42.89484257    0.0000000000
  -42.85627299    0.0000000000
  -42.81770341    0.0000000000
  -42.77913383    0.0000000000
  -42.74056425    0.0000000000
  -42.70199468    0.0000000000
  -42.66342510    0.0000000000
  -42.62485552    0.0000000000
  -42.58628594    0.0000000000
  -42.54771636    0.0000000000
  -42.50914679    0.0000000000
  -42.47057721    0.0000000000
  -42.43200763    0.0000000000
  -42.39343805    0.0000000000
  -42.35486847    0.0000000000
  -42.31629890    0.0000000000
  -42.27772932    0.0000000000
  -42.23915974    0.0000000000
  -42.20059016    0.0000000000
  -42.16202058    0.0000000000
  -42.12345100    0.0000000000
  -42.08488143    0.0000000000
  -42.04631185    0.0000000000
  -42.00774227    0.0000000000
  -41.96917269    0.0000000000
  -41.93060311    0.0000000000
  -41.89203354    0.0000000000
  -41.85346396    0.0000000000
  -41.81489438    0.0000000000
  -41.77632480    0.0000000000
  -41.73775522    0.0000000000
  -41.69918565    0.0000000000
  -41.66061607    0.0000000000
  -41.62204649    0.0000000000
  -41.58347691    0.0000000000
  -41.54490733    0.0000000000
  -41.50633776    0.0000000000
  -41.46776818    0.0000000000
  -41.42919860    0.0000000000
  -41.39062902    0.0000000000
  -41.35205944    0.0000000000
  -41.31348987    0.0000000000
  -41.27492029    0.0000000000
  -41.23635071    0.0000000000
  -41.19778113    0.0000000000
  -41.15921155    0.0000000000
  -41.12064197    0.0000000000
  -41.08207240    0.0000000000
  -41.04350282    0.0000000000
  -41.00493324    0.0000000000
  -40.96636366    0.0000000000
  -40.92779408    0.0000000000
  -40.88922451    0.0000000000
  -40.85065493    0.0000000000
  -40.81208535    0.0000000000
  -40.77351577    0.0000000000
  -40.73494619    0.0000000000
  -40.69637662    0.0000000000
  -40.65780704    0.0000000000
  -40.61923746    0.0000000000
  -40.58066788    0.0000000000
  -40.54209830    0.0000000000
  -40.50352873    0.0000000000
  -40.46495915    0.0000000000
  -40.42638957    0.0000000000
  -40.38781999    0.0000000000
  -40.34925041    0.0000000000
  -40.31068084    0.0000000000
  -40.27211126    0.0000000000
  -40.23354168    0.0000000000
  -40.19497210    0.0000000000
  -40.15640252    0.0000000000
  -40.11783294    0.0000000000
  -40.07926337    0.0000000000
  -40.04069379    0.0000000000
  -40.00212421    0.0000000000
  -39.96355463    0.0000000000
  -39.92498505    0.0000000000
  -39.88641548    0.0000000000
  -39.84784590    0.0000000000
  -39.80927632    0.0000000000
  -39.77070674    0.0000000000
  -39.73213716    0.0000000000
  -39.69356759    0.0000000000
  -39.65499801    0.0000000000
  -39.61642843    0.0000000000
  -39.57785885    0.0000000000
  -39.53928927    0.0000000000
  -39.50071970    0.0000000000
  -39.46215012    0.0000000000
  -39.42358054    0.0000000000
  -39.38501096    0.0000000000
  -39.34644138    0.0000000000
  -39.30787181    0.0000000000
  -39.26930223    0.0000000000
  -39.23073265    0.0000000000
  -39.19216307    0.0000000000
  -39.15359349    0.0000000000
  -39.11502392    0.0000000000
  -39.07645434    0.0000000000
  -39.03788476    0.0000000000
  -38.99931518    0.0000000000
  -38.96074560    0.0000000000
  -38.92217602    0.0000000000
  -38.88360645    0.0000000000
  -38.84503687    0.0000000000
  -38.80646729    0.0000000000
  -38.76789771    0.0000000000
  -38.72932813    0.0000000000
  -38.69075856    0.0000000000
  -38.65218898    0.0000000000
  -38.61361940    0.0000000000
  -38.57504982    0.0000000000
  -38.53648024    0.0000000000
  -38.49791067    0.0000000000
  -38.45934109    0.0000000000
  -38.42077151    0.0000000000
  -38.38220193    0.0000000000
  -38.34363235    0.0000000000
  -38.30506278    0.0000000000
  -38.26649320    0.0000000000
  -38.22792362    0.0000000000
  -38.18935404    0.0000000000
  -38.15078446    0.0000000000
  -38.11221489    0.0000000000
  -38.07364531    0.0000000000
  -38.03507573    0.0000000000
  -37.99650615    0.0000000000
  -37.95793657    0.0000000000
  -37.91936699    0.0000000000
  -37.88079742    0.0000000000
  -37.84222784    0.0000000000
  -37.80365826    0.0000000000
  -37.76508868    0.0000000000
  -37.72651910    0.0000000000
  -37.68794953    0.0000000000
  -37.64937995    0.0000000000
  -37.61081037    0.0000000000
  -37.57224079    0.0000000000
  -37.53367121    0.0000000000
  -37.49510164    0.0000000000
  -37.45653206    0.0000000000
  -37.41796248    0.0000000000
  -37.37939290    0.0000000000
  -37.34082332    0.0000000000
  -37.30225375    0.0000000000
  -37.26368417    0.0000000000
  -37.22511459    0.0000000000
  -37.18654501    0.0000000000
  -37.14797543    0.0000000000
  -37.10940586    0.0000000000
  -37.07083628    0.0000000000
  -37.03226670    0.0000000000
  -36.99369712    0.0000000000
  -36.95512754    0.0000000000
  -36.91655796    0.0000000000
  -36.87798839    0.0000000000
  -36.83941881    0.0000000000
  -36.80084923    0.0000000000
  -36.76227965    0.0000000000
  -36.72371007    0.0000000000
  -36.68514050    0.0000000000
  -36.64657092    0.0000000000
  -36.60800134    0.0000000000
  -36.56943176    0.0000000000
  -36.53086218    0.0000000000
  -36.49229261    0.0000000000
  -36.45372303    0.0000000000
  -36.41515345    0.0000000000
  -36.37658387    0.0000000000
  -36.33801429    0.0000000000
  -36.29944472    0.0000000000
  -36.26087514    0.0000000000
  -36.22230556    0.0000000000
  -36.18373598    0.0000000000
  -36.14516640    0.0000000000
  -36.10659683    0.0000000000
  -36.06802725    0.0000000000
  -36.02945767    0.0000000000
  -35.99088809    0.0000000000
  -35.95231851    0.0000000000
  -35.91374893    0.0000000000
  -35.87517936    0.0000000000
  -35.83660978    0.0000000000
  -35.79804020    0.0000000000
  -35.75947062    0.0000000000
  -35.72090104    0.0000000000
  -35.68233147    0.0000000000
  -35.64376189    0.0000000000
  -35.60519231    0.0000000000
  -35.56662273    0.0000000000
  -35.52805315    0.0000000000
  -35.48948358    0.0000000000
  -35.45091400    0.0000000000
  -35.41234442    0.0000000000
  -35.37377484    0.0000000000
  -35.33520526    0.0000000000
  -35.29663569    0.0000000000
